date,investment_amount,stock_selection,returns_amount
2016-02-12,6459.732510891039,"['TSLA', 'FB', 'DIS']",30.156179014213194
2016-02-16,6554.312259292437,"['JPM', 'DIS', 'V']",94.57974840139832
2016-02-17,6838.893523590551,"['AAPL', 'TSLA', 'DIS']",284.58126429811364
2016-02-18,6767.715277564834,"['TSLA', 'FB', 'DIS']",-71.17824602571727
2016-02-19,6711.884631455506,"['MSFT', 'JNJ', 'INTC']",-55.83064610932797
2016-02-22,6827.825921613389,"['JNJ', 'FB', 'V']",115.94129015788349
2016-02-23,6756.585460031132,"['TSLA', 'FB', 'V']",-71.24046158225701
2016-02-24,6804.276979542894,"['BAC', 'TSLA', 'INTC']",47.691519511761726
2016-02-25,6951.9225323229075,"['AAPL', 'TSLA', 'FB']",147.64555278001353
2016-02-26,6957.752036856038,"['TSLA', 'JNJ', 'V']",5.829504533130603
2016-02-29,6894.274188578973,"['BAC', 'JPM', 'TSLA']",-63.47784827706528
2016-03-01,7001.687606446618,"['BAC', 'TSLA', 'DIS']",107.41341786764497
2016-03-02,7031.635262410167,"['JPM', 'AAPL', 'FB']",29.94765596354955
2016-03-03,7105.012532821108,"['JPM', 'TSLA', 'MSFT']",73.37727041094058
2016-03-04,7196.224274325476,"['AAPL', 'TSLA', 'DIS']",91.21174150436764
2016-03-07,7215.993209346869,"['JPM', 'AAPL', 'TSLA']",19.76893502139319
2016-03-08,7116.937807458467,"['TSLA', 'INTC', 'DIS']",-99.05540188840132
2016-03-09,7230.655957058854,"['FB', 'MSFT', 'INTC']",113.71814960038682
2016-03-10,7149.483182609332,"['MSFT', 'TSLA', 'FB']",-81.17277444952197
2016-03-11,7294.441995068366,"['BAC', 'JNJ', 'INTC']",144.95881245903365
2016-03-14,7389.999547668489,"['TSLA', 'FB', 'V']",95.55755260012302
2016-03-15,7429.797713253918,"['TSLA', 'FB', 'DIS']",39.79816558542916
2016-03-16,7537.226826780301,"['AAPL', 'TSLA', 'FB']",107.42911352638293
2016-03-17,7557.593960755264,"['AAPL', 'TSLA', 'FB']",20.3671339749626
2016-03-18,7640.295784851784,"['TSLA', 'V', 'DIS']",82.7018240965208
2016-03-21,7695.300953136187,"['JPM', 'TSLA', 'JNJ']",55.005168284402316
2016-03-22,7670.56152678838,"['MSFT', 'TSLA', 'FB']",-24.73942634780633
2016-03-23,7658.302892426842,"['MSFT', 'AAPL', 'FB']",-12.258634361538498
2016-03-24,7673.344980787892,"['FB', 'JNJ', 'V']",15.042088361050446
2016-03-28,7738.903083577614,"['TSLA', 'FB', 'DIS']",65.55810278972149
2016-03-29,7794.878259119736,"['TSLA', 'FB', 'DIS']",55.97517554212209
2016-03-30,7856.283386589043,"['AAPL', 'FB', 'V']",61.405127469307445
2016-03-31,7843.017225251044,"['AAPL', 'DIS', 'V']",-13.26616133799962
